train_acc,test_acc,train_loss, test_loss, train_error, test_error
0.98204,0.9206,0.058585196033196375,0.26804938138860046,0.01796,0.0794
0.9814,0.9199,0.05822878710620696,0.2700129960230581,0.0186,0.0801
0.9827,0.9194,0.056283616529934855,0.27008429815055457,0.0173,0.0806
0.98196,0.9196,0.05791318749823152,0.26888843125123885,0.01804,0.0804
0.983,0.9198,0.05491701341079324,0.2686983130777338,0.017,0.0802
0.9811,0.9189,0.05867294798536069,0.2767061839105597,0.0189,0.0811
0.98278,0.9198,0.05626846886123233,0.2664084887713384,0.01722,0.0802
0.98252,0.9164,0.056541253610149673,0.27189553941890693,0.01748,0.0836
0.98252,0.9191,0.05583079602769421,0.269546272577184,0.01748,0.0809
0.98174,0.92,0.05852025860201215,0.2715090144259535,0.01826,0.08
0.98294,0.9201,0.05476550023783656,0.26697059293651276,0.01706,0.0799
0.98294,0.9189,0.054884458551435825,0.27146594401947255,0.01706,0.0811
0.98308,0.92,0.055545583596010036,0.2692905351709408,0.01692,0.08
0.9834,0.9196,0.053452979025366665,0.26922706963055454,0.0166,0.0804
0.98296,0.9214,0.05347525682824347,0.2680351962898947,0.01704,0.0786
0.98268,0.9192,0.05526470224780347,0.2710680098860127,0.01732,0.0808
0.98254,0.9197,0.05585804595933546,0.2710554535696461,0.01746,0.0803
0.9835,0.9199,0.05315428892212451,0.27216940335217554,0.0165,0.0801
0.9835,0.9185,0.053067797547220574,0.26991278286667386,0.0165,0.0815
0.98326,0.919,0.054420448115567115,0.27582733264299714,0.01674,0.081
0.98312,0.9199,0.0544704617527516,0.27173127392959445,0.01688,0.0801
0.98278,0.9196,0.0542354441683768,0.2727838171895143,0.01722,0.0804
0.98308,0.9178,0.05365210239920775,0.27987806816959077,0.01692,0.0822
0.98354,0.9196,0.05349450144688111,0.27409032314636145,0.01646,0.0804
0.98486,0.9184,0.05015444009067,0.27807590258634013,0.01514,0.0816
0.98442,0.9196,0.050579987494918086,0.27494122892333445,0.01558,0.0804
0.98432,0.9191,0.05134546501404794,0.2711374940955715,0.01568,0.0809
0.98442,0.9192,0.05055112407430816,0.2702661685076109,0.01558,0.0808
0.98442,0.9207,0.05048181014635679,0.26988881487090877,0.01558,0.0793
0.98384,0.9203,0.05145518621310706,0.27171620342192376,0.01616,0.0797
0.98402,0.9193,0.05154644835101979,0.2765219418011653,0.01598,0.0807
0.98478,0.9202,0.05025203909505816,0.27390383563603565,0.01522,0.0798
0.98354,0.9189,0.05194581170921283,0.2767938203919845,0.01646,0.0811
0.98442,0.9194,0.05020596062207161,0.27385030660754556,0.01558,0.0806
0.98398,0.9209,0.05067172711310179,0.2707381127461506,0.01602,0.0791
0.9845,0.9204,0.05068994001926059,0.27568884628118984,0.0155,0.0796
0.98388,0.9189,0.05173952559299786,0.2770234943859896,0.01612,0.0811
